owner_code	date	held_shares	change
keenan-capital-llc-970340	2017-12-31	70000	70000
bank-of-nova-scotia-80755	2017-12-31	69808	-3058
twin-tree-management-lp-913364	2017-12-31	69264	-68625
first-republic-investment-management-inc-762399	2017-12-31	69077	2980
ativo-capital-management-llc-797110	2017-12-31	68718	-4120
spq-asia-capital-ltd-988170	2017-09-30	68600	-4400
antipodean-advisors-llc-847912	2017-12-31	67000	-20000
adell-harriman--carpenter-inc-83718	2017-12-31	66590	415
prince-street-capital-management-llc-898084	2017-12-31	66500	-16300
aubrey-capital-management-ltd-1045219	2017-12-31	65670	65670
sloane-robinson-llp-761506	2017-12-31	65500	-19500
js-capital-management-llc-927588	2017-12-31	64000	5000
northwestern-mutual-wealth-management-co-664207	2017-12-31	62573	9492
reilly-financial-advisors-llc-734338	2017-12-31	61717	-884
capstone-asset-management-co-62982	2017-06-30	60196	-2140
global-x-management-co-llc-775769	2017-12-31	60055	8058
weiss-asset-management-lp-770790	2017-12-31	60000	0
cibc-asset-management-inc-48214	2017-12-31	59384	-2720
formula-growth-ltd-66643	2017-12-31	58842	-18470
alta-park-capital-lp-986724	2017-12-31	57365	15500
deltec-asset-management-llc-605241	2017-12-31	57240	11425
geneva-advisors-llc-622724	2017-06-30	56754	-80
acorn-advisory-capital-lp-1045092	2017-12-31	56281	56281
suntrust-banks-inc-1112	2017-12-31	55930	-22405
pillar-pacific-capital-management-llc-71912	2017-12-31	55485	1005
boothbay-fund-management-llc-958143	2017-12-31	55175	-16370
maytech-global-investments-llc-1045325	2017-12-31	55043	55043
ballentine-partners-llc-721719	2017-12-31	54462	-1692
first-foundation-advisors-76459	2017-12-31	54185	7119
crossmark-global-holdings-inc-1035747	2017-12-31	53966	-2832
cibc-world-markets-inc-770106	2017-12-31	53399	14274
braun-stacey-associates-inc-61778	2017-12-31	52416	-661
horseman-capital-management-ltd-688462	2017-12-31	52000	12100
quadrature-capital-ltd-979335	2017-12-31	51287	46395
wcm-investment-managementca-62193	2017-12-31	51122	-2342
daiwa-sb-investments-ltd-780415	2018-03-31	51050	-13400
tocqueville-asset-management-lp-61536	2017-12-31	51000	-12950
spot-trading-llc-101292	2017-09-30	50823	50823
darsana-capital-partners-lp-957919	2017-12-31	50000	-450000
marietta-investment-partners-llc-76193	2017-12-31	49468	-155
alliance-trust-plc-768213	2017-06-30	48450	48450
badgley-phelps--bell-inc-64498	2017-12-31	46778	-377
nuveen-asset-management-llc-855665	2017-12-31	46661	-3003
